iter	Passed	Remaining
0	9	4646
1	19	4582
2	27	4224
3	36	4249
4	44	4137
5	53	4169
6	61	4083
7	70	4080
8	78	4034
9	87	4049
10	95	3998
11	104	4007
12	112	3982
13	122	3997
14	131	4004
15	140	3992
16	149	4010
17	158	3990
18	168	4008
19	177	4004
20	187	4021
21	195	4003
22	205	4006
23	214	4001
24	222	3982
25	232	3988
26	240	3968
27	250	3974
28	258	3953
29	268	3952
30	276	3935
31	285	3931
32	294	3913
33	303	3907
34	312	3896
35	320	3885
36	330	3880
37	338	3861
38	347	3854
39	355	3836
40	364	3830
41	372	3816
42	381	3809
43	389	3789
44	399	3790
45	407	3777
46	417	3773
47	425	3757
48	434	3748
49	442	3732
50	451	3726
51	460	3717
52	468	3704
53	477	3693
54	485	3683
55	494	3674
56	503	3662
57	512	3657
58	521	3647
59	531	3647
60	539	3633
61	548	3627
62	556	3609
63	565	3606
64	573	3589
65	583	3586
66	591	3573
67	600	3566
68	609	3557
69	617	3545
70	625	3533
71	634	3526
72	643	3519
73	652	3508
74	661	3503
75	669	3489
76	678	3482
77	687	3472
78	697	3471
79	706	3460
80	715	3454
81	724	3443
82	732	3434
83	741	3425
84	750	3414
85	759	3407
86	767	3398
87	777	3393
88	785	3382
89	795	3377
90	804	3369
91	814	3363
92	823	3354
93	832	3347
94	841	3338
95	849	3328
96	859	3322
97	868	3314
98	878	3309
99	886	3297
100	895	3290
101	904	3282
102	914	3275
103	923	3268
104	932	3258
105	941	3252
106	950	3242
107	959	3235
108	968	3225
109	977	3218
110	986	3207
111	996	3202
112	1005	3194
113	1015	3189
114	1024	3181
115	1033	3171
116	1042	3161
117	1050	3150
118	1059	3143
119	1068	3134
120	1077	3124
121	1086	3116
122	1095	3109
123	1104	3100
124	1113	3091
125	1122	3083
126	1131	3073
127	1140	3064
128	1149	3056
129	1158	3048
130	1166	3037
131	1176	3030
132	1186	3023
133	1197	3019
134	1210	3021
135	1222	3021
136	1236	3022
137	1245	3015
138	1254	3006
139	1264	2997
140	1272	2987
141	1280	2976
142	1289	2967
143	1298	2957
144	1307	2948
145	1315	2937
146	1326	2933
147	1336	2925
148	1344	2914
149	1352	2904
150	1361	2893
151	1369	2884
152	1378	2873
153	1386	2863
154	1396	2856
155	1407	2850
156	1417	2844
157	1426	2834
158	1435	2826
159	1443	2814
160	1452	2804
161	1460	2793
162	1468	2784
163	1477	2773
164	1485	2764
165	1495	2757
166	1505	2750
167	1516	2743
168	1525	2734
169	1534	2725
170	1544	2718
171	1555	2712
172	1564	2703
173	1573	2694
174	1581	2684
175	1592	2677
176	1602	2671
177	1612	2663
178	1622	2655
179	1630	2644
180	1639	2635
181	1646	2624
182	1655	2614
183	1663	2602
184	1671	2593
185	1679	2582
186	1689	2574
187	1700	2568
188	1708	2557
189	1716	2548
190	1725	2538
191	1734	2528
192	1742	2518
193	1750	2509
194	1759	2498
195	1767	2489
196	1775	2478
197	1784	2469
198	1794	2462
199	1805	2455
